Date,Symbols,Close,Change
03.01.17,AAPL,27.299,1.002849096
03.01.17,AMGN,129.38,1.030914149
03.01.17,AXP,69.583,1.017143547
03.01.17,BA,145.53,1.008286333
03.01.17,CAT,81.733,1.013478342
03.01.17,CRM,70.54,1.030382732
03.01.17,CSCO,25.809,1.010588964
03.01.17,CVX,93.318,1.001274437
03.01.17,DIS,101.59,1.017846862
03.01.17,GE,235.38,1.002848076
03.01.17,GS,219.96,1.008853534
03.01.17,HD,118.87,1.001715333
03.01.17,HON,104.47,1.002848353
03.01.17,IBM,131.37,1.007229409
03.01.17,INTC,31.971,1.009098407
03.01.17,JNJ,100.88,1.005468197
03.01.17,JPM,75.093,1.010893613
03.01.17,KO,35.246,1.008200668
03.01.17,MCD,105.35,0.982747229
03.01.17,MMM,153.19,0.997088187
03.01.17,MRK,51.1,1.021742721
03.01.17,MSFT,58.064,1.007080756
03.01.17,NKE,49.237,1.022624576
03.01.17,PG,72.207,1.001427224
03.01.17,TRV,106.87,0.987583799
03.01.17,UNH,149.26,1.008810469
03.01.17,V,76.838,1.018969882
03.01.17,VZ,42.671,1.022480509
03.01.17,WBA,70.334,1.0024165
03.01.17,WMT,61.802,0.993344692
04.01.17,AAPL,27.269,0.998880718
04.01.17,AMGN,131.19,1.014197666
04.01.17,AXP,70.723,1.016393658
04.01.17,BA,147.06,1.01051166
04.01.17,CAT,81.368,0.995531405
04.01.17,CRM,72.8,1.03203859
04.01.17,CSCO,25.654,0.99405548
04.01.17,CVX,93.289,0.999745274
04.01.17,DIS,102.89,1.012820483
04.01.17,GE,235.45,1.000315517
04.01.17,GS,221.39,1.006457742
04.01.17,HD,119.94,1.008860268
04.01.17,HON,104.76,1.002754457
04.01.17,IBM,132.95,1.012381145
04.01.17,INTC,31.816,0.994808526
04.01.17,JNJ,100.7,0.998359697
04.01.17,JPM,75.233,1.001844278
04.01.17,KO,35.119,0.996411471
04.01.17,MCD,105.22,0.998829662
04.01.17,MMM,153.42,1.001516223
04.01.17,MRK,51.082,0.999667349
04.01.17,MSFT,57.805,0.99552574
04.01.17,NKE,50.267,1.020969475
04.01.17,PG,72.466,1.003562974
04.01.17,TRV,106.26,0.994623683
04.01.17,UNH,149.71,1.002849059
04.01.17,V,77.464,1.00817603
04.01.17,VZ,42.621,0.998900737
04.01.17,WBA,70.349,1.000241143
04.01.17,WMT,62.16,1.005825762
05.01.17,AAPL,27.41,1.005085328
05.01.17,AMGN,131.29,1.000719512
05.01.17,AXP,69.852,0.987673565
05.01.17,BA,147.13,1.000567444
05.01.17,CAT,80.873,0.993908364
05.01.17,CRM,72.79,0.999862608
05.01.17,CSCO,25.713,1.002325727
05.01.17,CVX,92.901,0.99567141
05.01.17,DIS,102.83,0.999441551
05.01.17,GE,234.12,0.994321683
05.01.17,GS,219.72,0.992555421
05.01.17,HD,118.52,0.988191655
05.01.17,HON,105,1.002231877
05.01.17,IBM,132.54,0.996691474
05.01.17,INTC,31.751,0.998352366
05.01.17,JNJ,101.78,1.010462902
05.01.17,JPM,74.539,0.990794976
05.01.17,KO,35.202,1.002401041
05.01.17,MCD,105.43,1.001841134
05.01.17,MMM,152.9,0.996579228
05.01.17,MRK,51.066,0.999667395
05.01.17,MSFT,57.805,1
05.01.17,NKE,50.257,0.999811564
05.01.17,PG,72.945,1.006626991
05.01.17,TRV,104.57,0.984033398
05.01.17,UNH,149.97,1.001667456
05.01.17,V,78.374,1.011727833
